190286;Sergio Canales Madrazo;Sergio Canales Madrazo;29;CM CDM LM;Left;226;145;176;65;10;€36K;€29.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p190286.png?v=22;
199005;Mathew Ryan;Mathew Ryan;28;GK;Right;17;55;184;82;33;€55K;€9M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p199005.png?v=22;
237692;Phil Foden;Phil Foden;20;CAM LW CM;Left;18;138;171;69;47;€115K;€79.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p237692.png?v=22;
192883;Henrikh Mkhitaryan;Henrikh Mkhitaryan;31;CF RM RW;Right;35;4;177;75;77;€75K;€25.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p192883.png?v=22;
199393;Nicolas Pallois;Nicolas Pallois;32;CB;Left;237;97;189;89;4;€24.5K;€7M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p199393.png?v=22;
179645;Simon Kjær;Simon Kjær;31;CB;Right;19;15;190;86;24;€49K;€21M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p179645.png?v=22;
230216;Adnan Vidual;Adnan Vidual;28;RB;Right;113;56;175;70;2;€31.5K;€16M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p230216.png?v=22;
188545;Robert Lewandowski;Robert Lewandowski;31;ST;Right;5;83;185;81;9;€270K;€124.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p188545.png?v=22;
153244;André-Pierre Gignac;Andre-Pierre Gignac;34;ST CF;Right;183;97;188;89;10;€66K;€12.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p153244.png?v=22;
213345;Kingsley Coman;Kingsley Coman;24;LM RM LW;Right;5;97;180;76;29;€110K;€93M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p213345.png?v=22;
201377;Jeison Murillo;Jeison Murillo;28;CB;Right;107;73;184;78;24;€23K;€10M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p201377.png?v=22;
146536;Jesús Navas;Jesus Navas;34;RB RM;Right;30;145;172;60;16;€42.5K;€15.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p146536.png?v=22;
223697;Robin Gosens;Robin Gosens;26;LM;Left;231;94;183;76;8;€77K;€39.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p223697.png?v=22;
202282;Stuart Armstrong;Stuart Armstrong;28;RM;Right;220;102;183;75;17;€54K;€10.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p202282.png?v=22;
200094;Magomed Ozdoev;Magomed Ozdoev;27;CDM CM;Right;0;33;184;78;25;€11K;€11M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p200094.png?v=22;
190871;Neymar Jr;Neymar Jr;28;LW CAM;Right;20;56;175;68;10;€270K;€132M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p190871.png?v=22;
203757;José Luís Mendes Andrade;Jose Luis Mendes Andrade;29;ST;Left;118;96;184;80;29;€28K;€10.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p203757.png?v=22;
201956;Salif Sané;Salif Sane;29;CB;Right;45;116;196;85;26;€27K;€9M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p201956.png?v=22;
209331;Mohamed Salah;Mohamed Salah;28;RW;Left;9;60;175;71;11;€250K;€120.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p209331.png?v=22;
204234;Edgar Badía;Edgar Badia;28;GK;Right;576;145;180;70;13;€16.5K;€9M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p204234.png?v=22;
203487;Jamaal Lascelles;Jamaal Lascelles;26;CB;Right;73;138;188;83;6;€36.5K;€12M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p203487.png?v=22;
182493;Diego Godín;Diego Godin;34;CB;Right;261;50;187;78;2;€43K;€10M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p182493.png?v=22;
188103;Rubén Rochina Naixes;Ruben Rochina Naixes;29;RM CM CAM;Left;264;145;182;76;16;€26K;€10.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p188103.png?v=22;
188988;Manuel Lanzini;Manuel Lanzini;27;CAM CM LM;Right;72;126;167;59;10;€40K;€11M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p188988.png?v=22;
192641;Kevin Vogt;Kevin Vogt;28;CB CDM;Right;676;94;194;85;22;€32.5K;€9M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p192641.png?v=22;
192270;Johnathan Aparecido Silva;Johnathan Aparecido Silva;30;ST CAM;Right;455;56;184;75;45;€7.6K;€10.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p192270.png?v=22;
190875;Juraj Kucka;Juraj Kucka;33;CM CDM;Right;228;76;186;84;33;€32.5K;€6.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p190875.png?v=22;
200215;Sebastian Rode;Sebastian Rode;29;CDM CM;Right;22;94;180;71;17;€27K;€9M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p200215.png?v=22;
